service_id,date,exception_type
70559-0000001-0,20200525,1
70558-0000001-0,20200503,1
70558-0000001-0,20200607,1
70558-0000001-0,20200412,1
70558-0000001-0,20200510,1
70558-0000001-0,20200426,1
70558-0000001-0,20200517,1
70558-0000001-0,20200419,1
70558-0000001-0,20200621,1
70558-0000001-0,20200524,1
70558-0000001-0,20200531,1
70558-0000001-0,20200614,1
70517-0000010-0,20200613,1
70517-0000010-0,20200425,1
70517-0000010-0,20200606,1
70517-0000010-0,20200530,1
70517-0000010-0,20200418,1
70517-0000010-0,20200627,1
70517-0000010-0,20200620,1
70517-0000010-0,20200516,1
70517-0000010-0,20200502,1
70517-0000010-0,20200523,1
70517-0000010-0,20200509,1
70521-0000001-0,20200525,1
70526-1111100-0,20200423,1
70526-1111100-0,20200605,1
70526-1111100-0,20200424,1
70526-1111100-0,20200602,1
70526-1111100-0,20200625,1
70526-1111100-0,20200505,1
70526-1111100-0,20200504,1
70526-1111100-0,20200507,1
70526-1111100-0,20200506,1
70526-1111100-0,20200501,1
70526-1111100-0,20200427,1
70526-1111100-0,20200529,1
70526-1111100-0,20200528,1
70526-1111100-0,20200527,1
70526-1111100-0,20200526,1
70526-1111100-0,20200428,1
70526-1111100-0,20200429,1
70526-1111100-0,20200508,1
70526-1111100-0,20200521,1
70526-1111100-0,20200520,1
70526-1111100-0,20200611,1
70526-1111100-0,20200610,1
70526-1111100-0,20200626,1
70526-1111100-0,20200414,1
70526-1111100-0,20200615,1
70526-1111100-0,20200617,1
70526-1111100-0,20200616,1
70526-1111100-0,20200619,1
70526-1111100-0,20200618,1
70526-1111100-0,20200522,1
70526-1111100-0,20200612,1
70526-1111100-0,20200415,1
70526-1111100-0,20200512,1
70526-1111100-0,20200513,1
70526-1111100-0,20200511,1
70526-1111100-0,20200430,1
70526-1111100-0,20200514,1
70526-1111100-0,20200515,1
70526-1111100-0,20200417,1
70526-1111100-0,20200416,1
70526-1111100-0,20200518,1
70526-1111100-0,20200519,1
70526-1111100-0,20200413,1
70526-1111100-0,20200422,1
70526-1111100-0,20200608,1
70526-1111100-0,20200609,1
70526-1111100-0,20200622,1
70526-1111100-0,20200623,1
70526-1111100-0,20200624,1
70526-1111100-0,20200603,1
70526-1111100-0,20200420,1
70526-1111100-0,20200601,1
