route_text_color,route_long_name,route_id,route_type,route_pattern1,agency_id,route_pattern2,route_color,route_desc,route_url,route_short_name
FFFFFF,Mid-City Rapid,215,3,215-E,MTS,215-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=215,215
FFFFFF,El Cajon Shuttle Loop Counterclockwise,872,3,872-L,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=872,872
FFFFFF,City Heights Shuttle,965,3,965-CC,MTS,965-C,006600,,https://www.sdmts.com/schedules-real-time?fragment=965,965
FFFFFF,Fashion Valley - Kearny Mesa TC,25,3,25-N,MTS,25-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=25,25
FFFFFF,Pacific Beach - Kearny Mesa Transit Center,27,3,27-W,MTS,27-E,000099,,https://www.sdmts.com/schedules-real-time?fragment=27,27
FFFFFF,Downtown - Rancho Bernardo Transit Station,20,3,20-N,MTS,20-S,CC0000,,https://www.sdmts.com/schedules-real-time?fragment=20,20
FFFFFF,Old Town T.C. - Shelter Island,28,3,28-W,MTS,28-E,000099,,https://www.sdmts.com/schedules-real-time?fragment=28,28
FFFFFF,12th & Imperial Trolley - Lomita Village,4,3,4-E,MTS,4-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=4,4
FFFFFF,Iris TC Loop - Imperial Beach Counterclock,933,3,933-L,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=933,933
FFFFFF,Old Town - Mission Beach / Pacific Beach,8,3,8-N,MTS,8-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=8,8
FFFFFF,El Cajon Transit Center - East Main St,815,3,815-E,MTS,815-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=815,815
FFFFFF,El Cajon TC - Cuyamaca College,816,3,816-E,MTS,816-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=816,816
FFFFFF,Iris TC Loop - Imperial Beach Clockwise,934,3,934-L,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=934,934
FFFFFF,SDSU - Downtown San Diego,11,3,11-S,MTS,11-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=11,11
FFFFFF,Airport/Downtown Shuttle,992,3,992-L,MTS,,006600,,https://www.sdmts.com/schedules-real-time?fragment=992,992
FFFFFF,Palomar Transit Center - Southwestern College,712,3,712-E,MTS,712-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=712,712
FFFFFF,Downtown San Diego - Kearny Mesa Transit Center,120,3,120-N,MTS,120-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=120,120
FFFFFF,24th St Transit Center - Division & Ava,967,3,967,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=967,967
FFFFFF,Grantville Trolley  -  Baltimore & Lake Murray,14,3,14-W,MTS,14-E,000099,,https://www.sdmts.com/schedules-real-time?fragment=14,14
FFFFFF,Downtown San Diego - UTC via Regents Rd,50,3,50-N,MTS,50-S,CC0000,,https://www.sdmts.com/schedules-real-time?fragment=50,50
FFFFFF,Fashion Valley - Kearny Mesa,928,3,928-S,MTS,928-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=928,928
FFFFFF,Iris Transit Center - 12th & Imperial,929,3,929-n,MTS,929-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=929,929
FFFFFF,Santee - 12th & Imperial,530,0,530EX,MTS,530WX,009900,,https://www.sdmts.com/schedules-real-time?fragment=green line,Sycuan Green Line
FFFFFF,UTC - Miramar College Transit Station,921,3,921-E,MTS,921-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=921,921
FFFFFF,Downtown to Point Loma,923,3,923-W,MTS,923-E,000099,,https://www.sdmts.com/schedules-real-time?fragment=923,923
FFFFFF,Rancho Bernardo Station - Downtown,290,3,290-S,MTS,290-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=290,290
FFFFFF,H St Transit Center - Otay Ranch Town Center,709,3,709-E,MTS,709-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=709,709
FFFFFF,E St Transit Center - Palomar Transit Center,704,3,704-N,MTS,704-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=704,704
FFFFFF,E St Transit Center - Plaza Bonita,705,3,705-E,MTS,705-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=705,705
FFFFFF,Otay Ranch Town Center - Southwestern College,707,3,707-N,MTS,707-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=707,707
FFFFFF,H St Transit Center - Palomar St TC via Hilltop Dr,701,3,701-N,MTS,701-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=701,701
FFFFFF,El Cajon T.C. - SDSU T.C.,115,3,115-W,MTS,115-E,000099,,https://www.sdmts.com/schedules-real-time?fragment=115,115
FFFFFF,Old Town - Fashion Valley,88,3,88-E,MTS,88-W,006600,,https://www.sdmts.com/schedules-real-time?fragment=88,88
FFFFFF,Mira Mesa - Downtown via Hwy 163,110,3,110-S1,MTS,110-N1,CC0000,,https://www.sdmts.com/schedules-real-time?fragment=110,110
FFFFFF,Downtown San Diego - Old Town,83,3,83-S,MTS,83-N,006600,,https://www.sdmts.com/schedules-real-time?fragment=83,83
FFFFFF,Point Loma Shuttle,84,3,84-1,MTS,84-2,006600,,https://www.sdmts.com/schedules-real-time?fragment=84,84
FFFFFF,Santee Center - NE Santee Loop Clockwise,832,3,832-CW,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=832,832
FFFFFF,Santee Center - Parkway Plaza,833,3,833-S,MTS,833-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=833,833
FFFFFF,West Santee Loop,834,3,834-L,MTS,,006600,,https://www.sdmts.com/schedules-real-time?fragment=834,834
FFFFFF,East County Square - Viejas,838,3,838-E,MTS,838-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=838,838
FFFFFF,UCSD Hospital - Euclid Transit Center,3,3,3-N,MTS,3-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=3,3
FFFFFF,El Cajon - Courthouse,520,0,520EX,MTS,520WX,FF6600,,https://www.sdmts.com/schedules-real-time?fragment=orange line,Orange Line
FFFFFF,Downtown San Diego - University/College,7,3,7-NF,MTS,7-SF,000099,,https://www.sdmts.com/schedules-real-time?fragment=7,7
FFFFFF,Oak Park-Emerald Hills Loop CCW,917,3,917-L,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=917,917
FFFFFF,Oak Park-Emerald Hills Loop CW,916,3,916-L,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=916,916
FFFFFF,Spring Valley - La Mesa,851,3,851-N,MTS,851-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=851,851
FFFFFF,Iris Transit Center - Downtown San Diego,901,3,901-1F,MTS,901-2F,000099,,https://www.sdmts.com/schedules-real-time?fragment=901,901
FFFFFF,Iris Transit Center - San Ysidro Clockwise,906,3,906-S,MTS,906-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=906,906
FFFFFF,Iris Transit Center - San Ysidro Counterclockwise,907,3,907-S,MTS,907-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=907,907
FFFFFF,Coronado Shuttle,904,3,904-N,MTS,904-S,006600,,https://www.sdmts.com/schedules-real-time?fragment=904,904
FFFFFF,Iris Transit Center - Otay Mesa Transit Center,905,3,905-E,MTS,905-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=905,905
FFFFFF,UTC - Mira Mesa,31,3,31-E,MTS,31-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=31,31
FFFFFF,Downtown San Diego - UTC via Pacific Beach,30,3,30-N,MTS,30-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=30,30
FFFFFF,Ocean Beach - Old Town,35,3,35-E,MTS,35-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=35,35
FFFFFF,El Cajon - Lakeside,848,3,848-N,MTS,848-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=848,848
